index,IPA Transcription,Gloss,Translation,Word
30,lɛ̀ɖɛ́ lə̀ŋàtʃí kúkù kákàŋ ,,The coconut was given to Kaka by Kuku,lɛ̀ɖɛ́ lə̀-ŋàtʃ-í kúkù kákà-ŋ
31,*lɛ̀ɖɛ́ lə̀ŋàtʃí kákǎŋ kúkù,,*The coconut was given to Kaka by Kuku,
32,#lɛ̀ɖɛ́ lə̀ŋàtʃí kúkùŋ kákà,,#The coconut gave Kuku to Kaka,
33,#lɛ̀ɖɛ́ lə̀ŋàtʃí kákàŋ kúkù,,#The coconut gave Kaka to Kuku,
34,ùrnɔ̀ ŋàtʃí áprɪ́ɲá kúkùŋ,,The grandfather gave the boy to Kuku,
35,ùrnɔ̀ kə̀ŋàtʃí áprɪ́ɲá kúkùŋ,,The grandfather gave the boy to Kuku,ùrnɔ̀ kə̀-ŋàtʃ-í àprɪ́-ɲá kúkù-ŋ
36,ùrnɔ̀ kə̀ŋàtʃí kúkùŋ àprɪ̀ɲà,,The grandfather gave Kuku to the boy,
37,kúkùŋ àprɪ́ɲá,,Parts of: The grandfather gave Kuku to the boy,
38,àprɪ́ jə̀ŋàtʃí úrnɔ̀ kúkùŋ,,The boy gave the grandfather to Kuku,àprɪ́ jə̀-ŋàtʃ-í ùrnɔ̀ kúkù-ŋ
39,ùrnɔ̀ kə̀ŋatʃí áprɪ̀ (kúkùŋ),,The grandfather was given to Kuku by the boy,
40,ùrnɔ̀ kə̀ŋatʃí áprɪ̀ kúkùŋ,,The grandfather was given to Kuku by the boy,
41,ùrnɔ̀ kə̀ŋàtʃí áprɪ̄ kúkùŋ,,The grandfather was given to Kuku by the boy,ùrnɔ̀ kə̀-ŋàtʃ-í àprɪ́ kúkù-ŋ
42,kaŋtʃi,,to show,
43,aŋtʃi,,to show,
44,káŋtʃî rŋɔ̀,CLk-show-PFV.VEN-1SG.OBJ snake.ACC,He showed me the snake,k-áŋtʃ-í-ì rŋɔ̀
45,kúkù kàŋtʃî r̀ŋɔ̀,,Kuku showed me the snake,
46,rŋɔ̀,,snake,
47,ɛlɔ,,God,
48,káŋtʃîí ùrnɔ̀,CLk-show-PFV.VEN-1SG.OBJ CLk.grandfather,He showed me the snake (or grandfather?),k-áŋtʃ-í-ì ùrnɔ̀
49,kàŋtʃí,,Parts of: He showed me the snake,
50,kàŋtʃîí,,Parts of: He showed me the snake,
51,kàŋtʃîí r̀ŋɔ̀,,He showed me the snake,
52,kàŋtʃî r̀ŋɔ̀,,He showed me the snake,
53,kàŋtʃíŋǐ rŋɔ̀,,He showed me the snake,
54,kàŋtʃíŋì rŋɔ̀,CLk-show-PFV.VEN-1SG.OBJ snake.ACC,He showed me the snake,k-àŋtʃ-í-ŋì rŋɔ̀
55,kúkù kə̀ŋàtʃî r̀ŋɔ̀,Kuku CLk-give-PFV.VEN-1SG.OBJ snake.ACC,Kuku gave me the snake,kúkù kə̀-ŋàtʃ-í-ì r̀ŋɔ̀
56,kúkù kə̀ŋàtʃîŋì r̀ŋɔ̀,Kuku CLk-give-PFV.VEN-1SG.OBJ snake.ACC,Kuku gave me the snake,kúkù kə̀-ŋàtʃ-í-íŋì r̀ŋɔ̀
57,kə̀ŋàtʃîŋì,,Parts of: Kuku gave me the snake,
58,kə̀ŋàtʃîŋì r̀ŋɔ̀,,Parts of: Kuku gave me the snake,
59,kúkù kə̀ŋàtʃî,,Parts of: Kuku gave me the snake,
60,kə̀ŋàtʃî,,Parts of: Kuku gave me the snake,
61,kúkù kə̀ŋàtʃí ŕŋɔ̀ kákàŋ,,Kuku gave the snake to Kaka,kúkù kə̀-ŋàtʃ-í r̀ŋɔ̀ kákà-ŋ
62,kúkù kə̀ŋàtʃîːí,,Parts of: Kuku gave me the snake,
63,kə̀ŋàtʃîːí,,Parts of: Kuku gave the snake to Kaka,
64,kə̀ŋàtʃí,,Parts of: Kuku gave me the snake,
65,kúkù kə̀ŋàtʃîŋǐ,,Parts of: Kuku gave me the snake,
66,kə̀ŋàtʃîŋǐ,,Parts of: Kuku gave me the snake,
67,kə̀ŋàtʃîŋí,,Parts of: Kuku gave me the snake,
68,ŋacçi,,to give,
69,kúkù kə̀ŋàtʃâ: rŋɔ̀,Kuku CLk-give-PFV.VEN-2SG.OBJ snake.ACC,Kuku gave you the snake,kúkù kə̀-ŋàc-í-à rŋɔ̀
70,kúkù kə̀ŋàtʃâŋà r̀ŋɔ̀,Kuku CLk-give-PFV.VEN-2SG.OBJ snake.ACC,Kuku gave you the snake,kúkù kə̀-ŋàc-í-ŋà r̀ŋɔ̀
71,kúkù kə̀ŋàtʃáŋá rŋɔ̀,Kuku CLk-give-PFV.VEN-2SG.SBJ snake.ACC,You gave Kuku the snake,kúkù kə̀-ŋàc-í-ŋá rŋɔ̀
72,kúkù kə̀ŋàtʃáŋá,,Parts of: You gave Kuku the snake,
73,kúkù kə̀ŋàtʃâŋǎ,,Parts of: Kuku gave you the snake,
74,kúkù kə̀ŋàtʃáŋá ŕŋɔ̀,,You gave the snake to Kuku,
75,kúkù kə̀ŋàtʃâŋà,,Parts of: Kuku gave you the snake,
76,kə̀ŋàtʃáŋá,,Parts of: You gave Kuku the snake,
77,"kúkù kə̀ŋàtʃâŋǎ ŕŋɔ̀, kúkù kə̀ŋàtʃáŋá ŕŋɔ̀",,(comparing tones of [âŋà] and [áŋá]),
78,kə̀ŋàtʃí kúkù r̀ŋɔ̀,CLk-give-PFV.VEN Kuku snake,She was given the snake by Kuku,kə̀-ŋàc-í kúkù r̀ŋɔ̀
79,rŋɔ̀ rə̀ŋàtʃí kúkù,CLr.snake CLr-give-PFV.VEN Kuku,The snake was given to her by Kuku,rŋɔ̀ rə̀-ŋàc-í kúkù
80,ŋú kə̀ŋàtʃí kúkù rŋɔ̀,3SG CLk-give-PFV.VEN Kuku snake,She was given to the snake by Kuku,ŋú kə̀-ŋàc-í kúkù rŋɔ̀
81,lɛ̀màð,,friends,
82,ɪ̀t̪ɪ̀lɔ̀,,year,
83,úlíŋɡɛ̀,,night,
84,ùlùŋú,,"many years (ago), when we were young, etc.",
85,ŋèðèní,,hare,
86,ŋèðèní ŋà t̪òlé t̪ɛ̂ɛ́,,the hare and the lion,
87,ŋèðèní ŋà t̪òlé ɡɛ́,,the hare and the lion,
88,ŋèðèní ŋà t̪òlé t̪ɛ́,,the hare and the lion,
89,ré àń lɛ́màθ,COP-TAMD FOC CLl.friends,They were great friends,r-é àń lɛ́màθ
90,t̪òlé ŋà ŋèðèní ŋɛ́,,the lion and the hare,
91,ŋèðèní ŋà t̪òlé t̪ɛ́ lárǎ án lɛ́màθ,,The lion and the hare will be great friends.,
92,lárǎ àń lɛ́màθ,,They will be great friends.,
93,ŋèðèní ŋà t̪òlé t̪ɛ́ lárà àń lɛ́màθ,,The lion and the hare will be great friends.,ŋèðèní ŋà t̪òlé t-̪ɛ́ l-á-r-à àń lɛ́màθ
94,lárà àń lɛ́màθ,,They will be great friends.,
95,àń lárɛ̀ lìppɔ̀ ɛ̀nà,,when they went for hunting,
96,ðiɲitʃi ŋəðenɔ ðija ɛðɛ,,scared/threaten the hare from eating meat,
97,ðíɲî,,threaten!,
98,ðíɲí,,threaten!,
99,ðíɲí is like threaten or scare,,threaten! or scare!,
100,ðíɲí ŋéðénɔ̀,,threaten the hare!,
101,ná ŋ ðíɲâtʃì ŋèðènɔ́ ðîjà ɛ̀ðɛ̀,xx 3SG scare-CAUS-TAMD CLŋ.hare-ACC INF-eat CL?.meat,it (lion) threatened the hare from eating meat,ná ŋ ðíɲ-âtʃ-ì ŋèðèn-ɔ́ ð-îjà ɛ̀ðɛ̀
102,ná ŋá ðíɲâtʃì ŋèðènɔ́,,it (lion) threatened the hare from eating meat,
103,ðíjǎ ɛ̀ðɛ̀,,to eat meat,
104,ðíjà ɛ̀ðɛ̀,,to eat meat,
105,wɛ̌ lìrìðɛ̀ðɛ̀ t̪á,,So they continued like that,
106,lìrìðɛ̀ðɛ̀,,... means 'continue',
107,ɲú,,...is like saying 'until',
108,rɛ̂mnìt̪ɛ̀,,...is 'becoming weak',
109,ŋèðèní ŋə̀rɛ̀mnà,,The hare is/became weak now,
110,ŋə̀rɛ̀mnà,,It (hare) is weak.,
111,ŋèrɛ̀mnà,,It (hare) is weak.,
112,nì ŋèðèní rɛ̀mnɛ̀t̪ɛ̀,,Parts of: They continued until the hare grew very thin and weak. ,
113,wɛ̌ lìrìðɛ̀ðɛ̀ t̪á ɲú ni ŋèðèní ...,,Parts of: They continued until the hare grew very thin and weak. ,
114,rɛ́mnà,,be weak!,
115,rɛ̀mnà,,be weak!,
116,ŋèðèní ŋə̀rɛ̀mnɛ̀t̪ɛ̀,,The hare was weak.,
117,ŋèðèní ŋə̀vɛ́ ŋə́rɛ̂mnɛ̀t̪ɛ̀,,The hare was thin (has been thin),
118,kə́ltʃí ālbrīðɔ̀,spread-IMP.AND CLj.mat-ACC,Spread the mat!,kə́ltʃ-í ! álbríð-ɔ́
119,álbrìðɔ̀,,mat,
120,kə̀ltʃá ālbrīðɔ̀,spread-IMP.VEN CLj.mat-ACC,Spread the mat! (distal/speaker is not present),kə̀ltʃ-á ! álbríð-ɔ́
121,àlbríθ jìtʃə̀lò,CLj.mat CLj-good,The mat is good,àlbríθ jì-tʃə̀lò
122,kɛ̀kə̀ltʃí ālbrīðɔ̄ ùnɛ̀rɛ̀,CLk-spread-PFV.VEN CLj.mat-ACC yesterday,He spread the mat yesterday,
123,kɛ̀kə̀ltʃí,,Parts of: He spread the mat yesterday,
124,ká̌kə́ltʃà àlbrìðɔ̀,,He will spread the mat (here; speaker will be present),
125,kákə́ltʃà álbríðɔ́ ǹdɔ̀bà,,He will spread the mat (here) tomorrow,
126,kākə́ltʃà álbríðɔ́ ǹdɔ̀bà,CLk-AUX-spread-IPFV.AND CLj.mat-ACC tomorrow,He will spread the mat (here) tomorrow,k-á-kə́ltʃ-à álbríð-ɔ́ ǹdɔ̀bà
127,àlbrìðɔ̀,,Parts of: He will spread the mat (here) tomorrow,
128,kákə̀ltʃí àlbrìðɔ̀,,He will spread the mat (there),
129,kákə̀ltʃí ālbrīðɔ̄ ǹdɔ̀bà,CLk-AUX-spread-IPFV.VEN CLj.mat-ACC tomorrow,He will spread the mat (there) tomorrow,k-á-kə̀ltʃ-í ! álbríð-ɔ́ ǹdɔ̀bà
130,kàðə́kə̂ltʃǎ àlbrìðɔ̀,,He is spreading the mat,
131,kàðə́ɡə̀ltʃǎ àlbrìðɔ̀,,He is spreading the mat,
132,kàðə́ɡə̀ltʃà àlbrìðɔ̀,,He is spreading the mat,
133,kàðə́kə̂ltʃà álbríðɔ́ t̪ə́wə̀nì,CLk-AUX-PROG-spread-TAMD CLj.mat-ACC now,He is spreading the mat now,k-à-ðə́-kə̂ltʃ-à àlbrìð-ɔ̀ t̪ə̀wə̀nì
134,kàðə́kə̀ltʃà,,Parts of: He is spreading the mat now,
135,jòú jāŋkə̄ltʃà,CLj-PROG CLj-AUX-2SG.SBJ-spread-TAMD,You are spreading it (mat),j-òú ! j-a-áŋ-kə́ltʃ-à
136,jòú jà ɔ̀ráj kə́ltʃà t̪ə̀wə̀nì,,My brother is spreading it (mat) now,j-òú j-à ɔ̀ráj kə́ltʃ-à t̪ə̀wə̀nì
137,jòú jà ɔ̀ráj,,Parts of: My brother is spreading it (the mat) now,
138,jòú jāŋkə̄ltʃà t̪ə̀wə̀nì,CLj-PROG CLj-AUX-3SG.SBJ-spread-TAMD,He is spreading it (mat) now,j-òú j-á-ŋ-kə́ltʃ-à t̪ə̀wə̀nì
139,jǎ ɔ́ráj kə́ltʃǎ t̪ə̀wə̀nì,,My brother is spreading it (mat) now,
140,jòú jà ɔ̀ráj ðə́kə̀ltʃǎ t̪ə̀wə̀nì,,My brother is spreading it (mat) now,
141,jòú jà ɔ̀ráj ðə́kə̀ltʃà t̪ə̀wə̀nì,,My brother is spreading it (mat) now,j-òú j-à ɔ̀ráj ðə́-kə̀ltʃ-à t̪ə̀wə̀nì
142,ɔ̀ráj kàðə́kə̂ltʃǎ ālbrīðɔ̄ t̪ə̄wə̀nì,,My brother is spreading the mat now,ɔ̀ráj k-à-ðə́-kə̂ltʃ-à !álbríð-ɔ́ t̪ə̀wə̀nì
143,"íɾí, àn íɾí kɛ̂, kál író t̪ɔ́t̪ɔ̀ ŋávɛ̀
",,"Trough, this is a trough, the cows drink water from it",
144,ìró t̪ɔ́t̪ɔ̀ ŋávɛ̀,,"Parts of: There is a trough, the cows drink water from it",
145,àn ìɾí kɛ̂ɛ́,,This is a trough.,
146,kál író t̪ɔ́t̪ɔ̀ ŋávɛ̀,,"Parts of: There is a trough, the cows drink water from it",
147,t̪ɔ́t̪ɔ̀ ŋávɛ̀,,"Parts of: This is a trough, the cows drink waters water from it",
148,"àn íɾí kɛ̂ɛ́, kál író t̪ɔ́t̪ɔ̀ ŋávɛ̀",FOC CLk.trough CLk-DEM.PROX CLk-AUX- CLj.cows drink-FV water-ACC,"This is a trough, the cows drink water from it","àn íɾí k-ɛ̂, k-a-́l író t̪-ɔ́t̪-ɔ̀ ŋáv-ɛ̀"
149,"àn íɾí kɛ̂, kál író t̪ɔ́t̪ɔ̀ ŋávɛ̀",,"This is a trough, the cows drink water from it",
150,ìró jìtʃə̀lò,,Cows are good,
151,ìɾí kɪ̀tʃə̀lò,,The trough is good. ,
152,ìɾí ŋɡájíðìnɔ̀ ŋɔ́tʃɔ́ ŋê,,The trough is made of mud,ìɾí ŋɡ-á íð-ìn-ɔ̀ ŋɔ́tʃɔ́ ŋ-ê
153,ŋɔ́tʃɔ́,,mud,
154,"ŋɔ́tʃɔ́ ŋɪ̀tʃə̀lò
",,The mud is good.,
155,ŋátʃɔ̀,,mud,
156,ŋátʃɔ́,,mud,
157,ŋɡálátʃǎ ŋɔ́tʃɛ̀,,He is about to shake the mud,
158,"ŋɡálátʃà ŋɔ́tʃɛ́ t̪ɜ̀wɜ̀nì
",,He is about to shake the mud right now,
159,ŋɡálátʃà ŋɔ́tʃɛ́ t̪ɜ̀wɜ̀nì,,He is about to shake the mud right now,
160," ̀ìɾí kìtʃìló ŋɡɔ́dɔ́ŋɔ̀nɔ̀ ŋávɛ̀
",,"The trough is good, it holds the water"," ̀ìɾí kì-tʃìló ŋɡá dɔ́ŋɔ̀n-ɔ̀ ŋáv-ɛ̀
"
161, ̀ìɾí kìtʃìló ŋɡɔ́dɔ́ŋɔ̀nɔ̀ ŋávɛ̀,,"The trough is good, it holds the water",
162,ŋɡádɔ́ŋɔ̀nɔ̀,,It holds the water,
163,ìɾí kìtʃìló ŋɡǎdɔ̀ŋnɔ̌ ŋávɛ̀,,"The trough is good, it holds the water",
164,ìɾí ŋɡájíð́ìnɔ̀ kɜ́nːà ìt̪ìlɔ́ kə́r mɔ̀lɔ̀,,The trough can be made every new year,ìɾí ŋɡá íð́-ìn-ɔ̀ kɜ́nːà ìt̪ìlɔ́ kə́-r mɔ̀lɔ̀
165,kńnǎ,,every,
166,ìt̪ìlɔ́,,year,
167,mɔ̀lɔ̀,,still,mɔ̀lɔ̀
168,ìɾí ŋɡábə́ɽɪ̀nɔ̀ ánó rʊ̀pá ŋɔ́tʃɔ́ ŋê,,The trough is repaired everyday with mud,ìɾí ŋɡ-á bə́ɽ-ɪ̀n-ɔ̀ ánó rʊ̀pá ŋɔ́tʃɔ́ ŋê
169,àn íɾí ŋɡábə́ɽìnɔ̀ ánó ɖɛ́ ŋɡápʊ́lɔ̀,,"If the trough cannot be repaired, it will have a hole on it",àn íɾí ŋɡ-á bə́ɽ-ìn-ɔ̀ ánó ɖɛ́ ŋɡ-á pʊ́lɔ̀
170,pʊ́lɔ̀,,have a hole,
171,lánd̪ɔ̀,,close,
172,lánd̪ɔ́ àòr,,close the door,
173,ɛ́rlánd̪ɔ́ àòr,,close the door,
174,àdːàm ,,book,
175,ɛ́rlánd̪ɔ́ àdːàm ,,close the book,
176,ɛ́rlánd̪ɔ́ àdːàm t̪ɜ̀wɜ̀nɪ̀,,close the book right now,
177,àdám jɛ́ jìtʃə̀lò,,this book is good,
178,kə̀rlànd̪ɔ́ áòr,,He closed the door.,
179,ŋɡáŕlànd̪à àòr,,He will close the door,
180,ŋɡár̀lànd̪ɔ́ áòr,,He will close the door (far),
181,kàŕlànd̪á áòr,,??,
182,kɛ̀ŕlànd̪à àòr,,??,
183,ɛ́rlɛ́nd̪ít̪ɔ́ àòr,,close the door for someone ,
184,ɛ́rlɛ́nd̪ít̪ɔ́ ʃáɹɔ̀nŋʊ́ àòr,,close the door for Sharon,
185,ʃáɹɔ̀nŋʊ́,,for Sharon,
186,àrlànd̪ɔ́ ,,close,
187,kə̀rlɛ̀nd̪ìt̪ɔ́ ʃáɹɔ̀nŋʊ́ àòr,,he closes the door for Sharon,
188,ŋɡáŕlɜ̀nd̪ìt̪ɔ́ ʃáɹɔ̀nŋʊ́ áòr ,,he will close the door for Sharon,
189,ŋɡár̀lɜ̀nd̪ìt̪ɔ́ ʃáɹɔ̀nŋʊ́ áòr ,,she will close the door for Sharon and come,
190,ŋɡáŕlɜ̀nd̪ìt̪ɔ̀ ʃáɹɔ̀nŋʊ́ áòr ,,he is about to close the door for Sharon,
191,ɛ̀rlɛ̀nd̪ɪ̀t̪ɔ́ ʃáɹɔ̀nʊ́ ɜ̀ùɾ,,close the door for Sharon and go away,
192,àór jɛ̀rlɜ̀nd̪ɪ̀nɔ̀ ,,the door is closed,
193,àór jɛ̀rlɜ̀nd̪ɪ̀nɔ́ únɛ̀ɾɛ̀,,the door was closed yesterday,
194,àór jɛ́ŕlɛ̀nd̪ɪ̀nɔ́,,the door will be closed,
195,àór jɛ́ŕlɛ̀nd̪ɪ̀nɔ̀,,the door will be closed,
196,àór jɛ́ŕlɛ̀nd̪ɪ̀nɔ̀ ndɔ̀bà,,the door will be closed tomorrow,
197,àór jɛ́r̀lɛ̀nd̪ɪ̀nɔ́ ndɔ̀bà,,the door will be closed tomorrow (far),
198,jɛ́r̀lɛ̀nd̪ɪ̀nɔ́ ndɔ̀bà,,the door will be closed tomorrow (far),
199,kɪ̀ðɔ́ ʃáɹɔ̀nŋʊ́ ŋárlàndè àòr,,he made Sharon close the door,
200,kɛ̀rlɛ̀nd̪ìjí ʃáɹɔ̀nŋʊ́ àòr,,he made Sharon close the door,
201,ŋɡáŕlɜ̀nd̪ìjɔ̀ ʃáɹɔ̀nŋʊ́ àòr,,he will make Sharon close the door,
202,ŋɡáŕlɜ̀nd̪ìjɔ̀ ʃáɹɔ̀nŋʊ́ àór ndɔ̀bà,,he will make Sharon close the door tomorrow,
203,ŋɡár̀lɛ̀nd̪ìjí ʃáɹɔ̀nŋʊ́ àór ndɔ̀bà,,he will make Sharon close the door tomorrow (far),
204,ɛ́rlɛ́nd̪íjí ʃáɹɔ̀nŋʊ́ àòr,,make Sharon close the door,
205,àrlɜ̀nd̪ìjɔ́ ʃáɹɔ̀nŋʊ́ àòr,,make Sharon close the door (far),
206,kə̀rlànd̪àt̪ɔ́ áór,,he closed the door (somewhere),
207,kìjàt̪ɔ́ kúkʊ̀ŋʊ́ ŋɔ́mɔ̀,,he ate Koko's food,
208,kúkʊ̀ŋʊ́ ŋɔ́mɔ̀,,koko's food,
209,lɔ̀mɔ̀ lɪ̀tʃɪ̀lɔ̀,,the bread is good,
210,kɪ̀jɔ́ lɔ́mɔ̀ ùnɛ̀ɾɛ̀,,he ate bread yesterday,
211,ŋɡájà lɔ̀mɔ̀,,he is about to eat food,
212,ŋɡájà lɔ̀mɔ̀ tʃàt̪à,,he will eat food today,
213,kìjɔ́ ŋɔ́mɔ̀ ŋɡúkʊ̀,,he ate the food of Kuku,
214,kìjɔ́ ŋɔ́mɔ̀ ŋɛ́ kúkʊ̀,,he ate the food of Kuku,
215,ðijat̪a,,chew,
216,ðijat̪a ano,,chew,
217,ɽit̪i,,palm tree,
218,ɽìt̪í sɪ̀tʃə̀lò,,The palm tree is good,
219,,FOC who CLg-IPFV-3PLO-root-IPFV.AND,‘I revealed myself’ (after hiding in a bush),ŋòɽón
220,*nɔ́nɔ́ tʃǎ ɽìtì sɛ̀,,*Look at this palm tree,
221,nɔ́nɔ́ tʃǎ ɽìtɔ̀ sɛ̀,,Look at this palm tree,
222,ɽìtí sǎ lìjì mɪða  jar,,Palm tree is used by people to make ropes,
223,ɽìtí sɔ̀ɲá ŋawuðɛ ŋamaɽaɾe,,Palm tree has many uses,
224,jár jɪ̀tʃə̀lò,,The ropes are good,
225,lìjí lə̀mɪ̀ðɔ́ ðár ɽìt̪ì sɛ,,People made (one) rope with the palm tree,
226,lìjí lámɪ̀ðà ðàr ɽìt̪ì sɛ,,People make (one) rope with the palm tree,
227,ɽit̪i samaðinɔ nat̪udʒajɛ,,Palm tree can be used to make straps,
228,àt̪udʒáj jìtʃə̀lò,,The bed strap is good,
229,nàtùdʒáj nìtʃə̀lò,,The bed straps are good,
230,ɽit̪í t̪át̪ɛ́ lìdjí kɔ̀t̪à nʊ̀nɪ̀,,Palm tree can be used by people to weave baskets,
231,ʊnɪ,,basket,
232,ʊ̀nɪ̀ kìtʃə̀lò,,The basket is good,
233,lìdʒí lə̀kɔ̀tɔ́ ʊ́nɪ̀ ùnɛ̀ɾɛ̀,,People weaved a basket yesterday,
234,lìdʒí láðgɔ̀tà nʊ̀nɪ̀ t̪owəni,,People are weaving baskets now,
235,lìdʒí láðgɔ̀tà nʊ̀nɪ̀,,People are weaving baskets now,
236,ɽìtí sásɛ́ lìdʒí ɔ̀d̪a və̀ɽàn,,Palm tree can also be used by people to build a house,
237,ɽìtí t̪itʃilʊ ŋamɽaɾɛ,,Palm tree is really good,
238,ɲìtí,,palm trees,
239,ɲìt̪út̪ù,,roofs (of houses),
240,ɲìt̪útú ɲɪ̀tʃə̀lʊ̀,,The roofs (of houses) are good,
241,*ɽút̪ú sɪ̀tʃə̀lò,,*The roof (of house) is good,
242,ɽut̪u t̪itʃilʊ,,The roof (of house) is good,
243,ɽút̪ú ɽɪtʃəlʊ,,The roof (of house) is good,
244,jɛðəŋnanʊ kanan əŋa,,I remembered you,
245,àprɪ́ jɛ́ðə̀ŋnánʊ́ kán kùkù,,The boy remembered Kuku,
246,ðaðəŋnɔanʊ,,to remember,
247,ǎn ɔ́ɟɔ́ kálə̀ŋɔ́ ɔ́ndɪ̀,,Who sang what?,
248,ǎn ɔ́ndɪ kálɔ̀ŋɔ́ ɔ̀ɟɔ̀,,What did who sing?,
249,ǎn ɔ́ndɪ kálə̀ŋɔ́ ɔɟɔŋo,,What sang who?,
250,ðùɽù,CLð.ostrich,ostrich,ðùɽú
251,ǎn ðùɽú ðɛ̀. ðùɽú ðɔ̀lá èsám vŕr,FOC CLð.ostrich CLð.DEM. CLð.ostrich CLð-long-PFV CLg.neck very,This is an ostrich. The ostrich has a long neck,ǎn ðùɽú ðɛ̀. ðùɽú ð-ɔ̀l-á èsám vŕr
252,ðùɽú ðɔ̀lá èsám vŕr,CLð.ostrich CLð-long-PFV CLg.neck very,The ostrich has a very long neck  (lit. ostrich is long neck very),ðùɽú ð-ɔ̀l-á èsám vŕr
253,ðùɽú ǎn úɽúvɔ́ kərá ŋád̪ùmɔ̀ ŋàmɽàrè,CLð.ostrich FOC CLg.bird CLg-big-PFV CLŋ.size much,the ostrich is a big-sized bird,ðùɽú ǎn úɽúvɔ́ k-ə̀r-á ŋád̪ùmɔ̀ ŋàmɽàrè
254,ðùɽú ðálə́ŋà ŋɛ́ŋɛ̀    ŋə́bàɽà tɔ́rr,CLð.ostrich CLð-IPFV-lay-IPFV CLŋ.egg-ACC   CLŋ-IPFV-hard-IPFV very,The ostrich lays very hard eggs,ðùɽú ð-á-lə́ŋ-à ŋɛ́ŋ-ɛ̀    ŋ-ə́bàɽ-à tɔ́rr
255,ŋɛ́ɲ ŋə̀ðùɽú ŋə̀rvɔ́ ŕvɛ́ ávàn,CLŋ.egg CLŋ.GEN-CLð.ostrich CLŋ-smell-PFV IDPH lot,Ostrich eggs smell very strongly.,ŋɛ́ɲ ŋə̀-ðùɽú ŋə̀-rvɔ́ ŕvɛ́ ávàn
